freq	morph	lang	stem	morph_type	person	gender	number	state	pos	lexical_class	distinct_variants
2	Vpq2fs	H	piel	weqatal	second	feminine	singular		verb	verb	1
2	Vvp1cs	H		qatal	first	common	singular		verb	verb	1
2	Ngmpc	H		gentilic		masculine	plural	construct	noun	noun	1
2	Vfrmsa	H	hithpalpel	participle active		masculine	singular	absolute	verb	verb	1
2	Vhj2fs	H	hiphil	jussive	second	feminine	singular		verb	verb	1
2	VHsmsc	H	hophal	participle passive		masculine	singular	construct	verb	noun	2
2	Vmrfsc	H	poel	participle active		feminine	singular	construct	verb	verb	1
2	VHj3ms	H	hophal	jussive	third	masculine	singular		verb	verb	1
2	Vmp3ms	H	poel	qatal	third	masculine	singular		verb	verb	1
2	Vep3mp	A	shaphel	qatal	third	masculine	plural		verb	verb	1
2	Vti3mp	A	hishtaphel	yiqtol	third	masculine	plural		verb	verb	1
2	Vhp1cp	A	haphel	qatal	first	common	plural		verb	verb	1
2	Vqp2mp	A	peal	qatal	second	masculine	plural		verb	verb	1
2	VMp3ms	A	hithpaal	qatal	third	masculine	singular		verb	verb	1
2	Pi	A		interrogative					pronoun	pron	1
2	Vai2ms	A	aphel	yiqtol	second	masculine	singular		verb	verb	1
2	VMp3mp	A	hithpaal	qatal	third	masculine	plural		verb	verb	1
2	Vhv2ms	A	haphel	imperative	second	masculine	singular		verb	verb	1
2	Vmsmsa	H	poel	participle passive		masculine	singular	absolute	verb	verb	1
2	VOsmsa	H	polal	participle passive		masculine	singular	absolute	verb	verb	1
2	VHq3cp	H	hophal	weqatal	third	common	plural		verb	verb	1
2	Vmp3fs	H	poel	qatal	third	feminine	singular		verb	verb	1
2	Vfp3cp	H	hithpalpel	qatal	third	common	plural		verb	verb	1
2	Vrv2ms	H	hithpolel	imperative	second	masculine	singular		verb	verb	1
2	Vrp2ms	H	hithpolel	qatal	second	masculine	singular		verb	verb	1
2	Aobsa	H		ordinal number		both	singular	absolute	adjective	num	1
2	Vmh1cs	H	poel	cohortative	first	common	singular		verb	verb	1
2	VOp3cp	H	polal	qatal	third	common	plural		verb	verb	1
2	Vri3fs	H	hithpolel	yiqtol	third	feminine	singular		verb	verb	1
2	VPsmsc	H	pual	participle passive		masculine	singular	construct	verb	verb	1
2	Vmp3cp	H	poel	qatal	third	common	plural		verb	verb	1
2	Vorfsa	H	polel	participle active		feminine	singular	absolute	verb	verb	1
2	Vfi1cs	H	hithpalpel	yiqtol	first	common	singular		verb	verb	1
2	Vkq3ms	H	palel	weqatal	third	masculine	singular		verb	verb	1
2	VQsfsa	H	qal passive	participle passive		feminine	singular	absolute	verb	verb	1
2	Vri2ms	H	hithpolel	yiqtol	second	masculine	singular		verb	verb	1
2	Vlq3ms	H	pilpel	weqatal	third	masculine	singular		verb	verb	1
2	Vlrmsc	H	pilpel	participle active		masculine	singular	construct	verb	verb	1
2	VPi2mp	H	pual	yiqtol	second	masculine	plural		verb	verb	1
2	Vrj2mp	H	hithpolel	jussive	second	masculine	plural		verb	verb	1
2	Vfv2mp	H	hithpalpel	imperative	second	masculine	plural		verb	verb	1
2	Vrq3cp	H	hithpolel	weqatal	third	common	plural		verb	verb	1
2	Vkp3ms	H	palel	qatal	third	masculine	singular		verb	verb	1
2	VMp3ms	H	poal	qatal	third	masculine	singular		verb	verb	1
2	Vti3fp	H	hithpael	yiqtol	third	feminine	plural		verb	verb	1
2	Voq3cp	H	polel	weqatal	third	common	plural		verb	verb	1
2	Voi3fp	H	polel	yiqtol	third	feminine	plural		verb	verb	1
2	Vui2mp	A	hithpeel	yiqtol	second	masculine	plural		verb	verb	1
2	Vui3mp	A	hithpeel	yiqtol	third	masculine	plural		verb	verb	1
2	Vhi1cp	A	haphel	yiqtol	first	common	plural		verb	verb	1
2	Ngmpc	A		gentilic		masculine	plural	construct	noun	noun	1
2	Vuc	A	hithpeel	infinitive construct					verb	verb	1
2	Vhp1cs	A	haphel	qatal	first	common	singular		verb	verb	1
2	Vqrmsc	A	peal	participle active		masculine	singular	construct	verb	verb	1
2	Vhp3fs	A	haphel	qatal	third	feminine	singular		verb	verb	1
2	VMsmpa	A	hithpaal	participle passive		masculine	plural	absolute	verb	verb	1
2	Vai3ms	A	aphel	yiqtol	third	masculine	singular		verb	verb	1
2	Vip3fs	A	ithpeel	qatal	third	feminine	singular		verb	verb	1
2	Vhsmsa	A	haphel	participle passive		masculine	singular	absolute	verb	verb	1
2	Acfpa	A		cardinal number		feminine	plural	absolute	adjective	num	1
2	Pf3bs	A		indefinite	third	both	singular		pronoun	pron	2
2	VHp3mp	A	hophal	qatal	third	masculine	plural		verb	verb	1
2	VQsmpa	A	peil	participle passive		masculine	plural	absolute	verb	verb	1
2	Vai3fs	A	aphel	yiqtol	third	feminine	singular		verb	verb	1
2	Vqp3fp	A	peal	qatal	third	feminine	plural		verb	verb	1
2	Aomsa	A		ordinal number		masculine	singular	absolute	adjective	adj	2
2	Ncbpa	A		common		both	plural	absolute	noun	noun	1
2	Vqv2fs	A	peal	imperative	second	feminine	singular		verb	verb	1
